"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"PAL","North American Palladium, Ltd.","2.09","340358590","n/a","2000","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pal",
"NAK","Northern Dynasty Minerals, Ltd.","2.87","272589730","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","16.01","1016779090","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","1.23","35597430","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nby",
"NCQ","NovaCopper Inc.","1.97","0","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ncq",
"NG","Novagold Resources Inc New","5.71","1595602400","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng",
"NTN","NTN Buzztime, Inc.","0.1499","10642600.2","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn",
"NLP","NTS Realty Holdings Limited Partnership","3.14","34838300","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nlp",
"NTS","NTS, Inc.","0.7","28830900","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/nts",
"NEA","Nuveen AMT-Free Municipal Income Fund","15.15","336951150","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nea",
"NFZ","Nuveen Arizona Dividend Advantage Municipal Fund","14.8601","23003434.8","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/nfz",
"NFZ^C","Nuveen Arizona Dividend Advantage Municipal Fund","10.01","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nfz^c",
"NKR","Nuveen Arizona Dividend Advantage Municipal Fund 2","15.5304","37894176","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nkr",
"NXE","Nuveen Arizona Dividend Advantage Municipal Fund 3","14.7004","45071426.4","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nxe",
"NKX","Nuveen California AMT-Free Municipal Income Fund","15.63","92045070","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nkx",
"NVX","Nuveen California Dividend Advantage Municipal Fund 2","15.68","231232960","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/nvx",
"NZH","Nuveen California Dividend Advantage Municipal Fund 3","14.02","338428780","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nzh",
"NCB","Nuveen California Municipal Value Fund 2","17","55896000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ncb",
"NCU","Nuveen California Premium Income Municipal Fund","15.18","86996580","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/ncu",
"CFD","Nuveen Diversified Commodity Fund","20.71","190925490","n/a","1998","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cfd",
"NXZ","Nuveen Dividend Advantage Municipal Fund 2","15.75","464026500","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/nxz",
"NZF","Nuveen Dividend Advantage Municipal Fund 3","15.23","615170160","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/nzf",
"NVG","Nuveen Dividend Advantage Municipal Income Fund","15.58","464330740","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nvg",
"NKG","Nuveen Georgia Dividend Advantage Municipal Fund 2","14.93","68006150","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nkg",
"NFM","Nuveen Maryland Dividend Advantage Municipal Fund","14.81","62157570","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/nfm",
"NZR","Nuveen Maryland Dividend Advantage Municipal Fund 2","15.3499","64515629.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nzr",
"NWI","Nuveen Maryland Dividend Advantage Municipal Fund 3","15","80490000","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nwi",
"NGX","Nuveen Massachusetts AMT-Free Municipal Income Fund","14.8999","40632027.3","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/ngx",
